"Alpha 3 Code","Year","IS dC_loss (TgCO2)","IS dC_loss unc (TgCO2)","LNLG dC_loss (TgCO2)","LNLG dC_loss unc (TgCO2)","LNLGIS dC_loss (TgCO2)","LNLGIS dC_loss unc (TgCO2)","LNLGOGIS dC_loss (TgCO2)","LNLGOGIS dC_loss unc (TgCO2)","IS NBE (TgCO2)","IS NBE unc (TgCO2)","LNLG NBE (TgCO2)","LNLG NBE unc (TgCO2)","LNLGIS NBE (TgCO2)","LNLGIS NBE unc (TgCO2)","LNLGOGIS NBE (TgCO2)","LNLGOGIS NBE unc (TgCO2)","IS NCE (TgCO2)","IS NCE unc (TgCO2)","LNLG NCE (TgCO2)","LNLG NCE unc (TgCO2)","LNLGIS NCE (TgCO2)","LNLGIS NCE unc (TgCO2)","LNLGOGIS NCE (TgCO2)","LNLGOGIS NCE unc (TgCO2)","Rivers (TgCO2)","River unc (TgCO2)","Wood+Crop (TgCO2)","Wood+Crop unc (TgCO2)","FF (TgCO2)","FF unc (TgCO2)","Z-statistic","FUR IS","FUR LNLG","FUR LNLGIS","FUR LNLGOGIS"
"AFG","2015","1.20E+0","4.19E+1","5.46E+1","1.80E+2","3.93E+1","1.54E+2","-9.77E-1","1.12E+2","2.82E+0","4.19E+1","5.63E+1","1.80E+2","4.10E+1","1.54E+2","6.47E-1","1.12E+2","2.22E+1","4.19E+1","7.56E+1","1.80E+2","6.04E+1","1.54E+2","2.00E+1","1.12E+2","-2.43E+0","1.70E+0","4.06E+0","1.22E+0","1.94E+1","7.98E-1","0.37","0.01","0.2","0.19","0.03"
"AFG","2016","-1.27E+0","3.24E+1","6.76E+1","2.34E+2","5.06E+1","1.75E+2","1.77E+1","1.18E+2","6.28E-1","3.24E+1","6.94E+1","2.34E+2","5.25E+1","1.75E+2","1.96E+1","1.18E+2","2.11E+1","3.24E+1","9.00E+1","2.34E+2","7.30E+1","1.75E+2","4.01E+1","1.18E+2","-2.16E+0","2.24E+0","4.06E+0","1.22E+0","2.05E+1","6.78E-1","0.31","0.01","0.2","0.19","0.03"
"AFG","2017","-7.33E-2","4.34E+1","7.71E+1","2.33E+2","5.45E+1","1.80E+2","1.03E+1","1.28E+2","1.89E+0","4.34E+1","7.91E+1","2.33E+2","5.65E+1","1.80E+2","1.23E+1","1.28E+2","2.30E+1","4.34E+1","1.00E+2","2.33E+2","7.75E+1","1.80E+2","3.33E+1","1.28E+2","-2.09E+0","2.38E+0","4.06E+0","1.22E+0","2.11E+1","6.96E-1","0.47","0.01","0.2","0.19","0.03"
"AFG","2018","-9.31E-2","4.06E+1","1.32E+2","3.20E+2","1.16E+2","2.43E+2","4.42E+1","1.83E+2","1.94E+0","4.06E+1","1.34E+2","3.20E+2","1.18E+2","2.43E+2","4.63E+1","1.83E+2","2.74E+1","4.06E+1","1.59E+2","3.20E+2","1.44E+2","2.43E+2","7.18E+1","1.83E+2","-2.02E+0","2.52E+0","4.06E+0","1.22E+0","2.55E+1","6.96E-1","0.39","0.01","0.2","0.19","0.03"
"AFG","2019","-8.35E+0","4.10E+1","9.13E+1","2.41E+2","6.40E+1","1.82E+2","1.31E+1","1.21E+2","-6.32E+0","4.10E+1","9.33E+1","2.41E+2","6.60E+1","1.82E+2","1.51E+1","1.21E+2","2.15E+1","4.10E+1","1.21E+2","2.41E+2","9.39E+1","1.82E+2","4.29E+1","1.21E+2","-2.03E+0","2.50E+0","4.06E+0","1.22E+0","2.79E+1","7.98E-1","0.49","0.01","0.2","0.19","0.03"
"AFG","2020","3.16E+0","3.43E+1","1.04E+2","2.02E+2","8.61E+1","1.97E+2","1.47E+1","1.09E+2","5.06E+0","3.43E+1","1.06E+2","2.02E+2","8.80E+1","1.97E+2","1.66E+1","1.09E+2","3.08E+1","3.43E+1","1.31E+2","2.02E+2","1.14E+2","1.97E+2","4.23E+1","1.09E+2","-2.15E+0","2.27E+0","4.06E+0","1.22E+0","2.57E+1","7.98E-1","0.5","0.01","0.2","0.19","0.03"
"AFG","mean","-2.99E-1","3.46E+1","9.05E+1","2.41E+2","6.85E+1","1.98E+2","1.29E+1","1.35E+2","1.61E+0","3.45E+1","9.25E+1","2.41E+2","7.04E+1","1.98E+2","1.48E+1","1.35E+2","2.49E+1","3.45E+1","1.16E+2","2.41E+2","9.37E+1","1.98E+2","3.82E+1","1.35E+2","-2.15E+0","2.27E+0","4.06E+0","1.22E+0","2.33E+1","7.44E-1","0.4","0.01","0.2","0.19","0.03"
"AGO","2015","1.93E+2","3.09E+2","-9.85E+1","2.72E+2","-8.01E+1","2.38E+2","4.98E+1","2.26E+2","1.77E+2","3.09E+2","-1.14E+2","2.72E+2","-9.53E+1","2.38E+2","3.46E+1","2.26E+2","1.92E+2","3.09E+2","-9.90E+1","2.72E+2","-8.06E+1","2.38E+2","4.93E+1","2.26E+2","-2.05E+1","1.17E+1","5.33E+0","1.60E+0","1.47E+1","3.44E+0","-1.03","0.18","0.69","0.72","0.71"
"AGO","2016","3.29E+2","1.39E+2","-2.31E+2","3.04E+2","-2.41E+2","2.99E+2","-1.46E+2","1.59E+2","3.13E+2","1.39E+2","-2.47E+2","3.04E+2","-2.57E+2","2.99E+2","-1.62E+2","1.59E+2","3.28E+2","1.38E+2","-2.32E+2","3.04E+2","-2.42E+2","2.99E+2","-1.47E+2","1.59E+2","-2.12E+1","1.03E+1","5.33E+0","1.60E+0","1.51E+1","3.45E+0","-1.14","0.18","0.69","0.72","0.71"
"AGO","2017","4.74E+0","2.50E+2","-5.12E+2","3.96E+2","-4.59E+2","4.35E+2","-2.23E+2","3.85E+2","-1.19E+1","2.50E+2","-5.29E+2","3.96E+2","-4.76E+2","4.35E+2","-2.40E+2","3.85E+2","3.73E+0","2.50E+2","-5.13E+2","3.96E+2","-4.60E+2","4.35E+2","-2.24E+2","3.85E+2","-2.20E+1","8.73E+0","5.33E+0","1.60E+0","1.57E+1","3.79E+0","-2.88","0.18","0.69","0.72","0.71"
